uuid,name,doi,doi_dummy,publication_type,publication_type_group,date_issued,year,license,license_short,license_short_group
08ad9510-f5cd-404f-bfc4-0e9e57a5ecdb,Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,https://doi.org/10.3929/ethz-b-000594375,Has DOI,Student Paper,Student Paper,2023-01,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
0661cebc-b4c5-4f2d-a891-cda46017ebd7,Solar Water Heater Modeling for Fecal Sludge Pasteurization,,No DOI,Model,Other publication,2024-10-30,2024,No license,No license,No license
7f2e7488-d01e-445b-9bb4-71a78476ffb1,Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,,No DOI,Journal Article,Scientific Article,2021-06-11,2021,No license,No license,No license
786bf081-a9c2-4a10-8ab8-64d199aa661a,"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",https://doi.org/10.3929/ethz-b-000579154,Has DOI,Journal Article,Scientific Article,2022-10,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
24567971-d4d5-4ede-b4d3-e1dc4c0d7eda,Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,https://doi.org/10.3929/ethz-b-000728014,Has DOI,Student Paper,Student Paper,2024-12,2024,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
1cdc2b2c-10e4-426d-8eef-2a2ec2e147a6,Development of a Monitoring Device for Improved Cookstoves,https://doi.org/10.3929/ethz-b-000685919,Has DOI,Bachelor Thesis,Student Paper,2024,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
2a8383ec-dba7-4579-80af-d67568875458,"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000683349,Has DOI,Other Publication,Other publication,2024-02,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
2305abe2-f4ff-49ab-9ab4-22f013a5996b,"As South Africa's cities burn: we can clean-up, but we cannot sweep away inequality",https://doi.org/10.3929/ethz-b-000502398,Has DOI,Journal Article,Scientific Article,2021,2021,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,CC BY-NC-ND 4.0,CC BY 4.0
402631b8-b99b-488d-b5d3-78519677720c,A sustainable alternative to traditional building materials: assessing stabilised soil blocks for performance and cost in Malawi,https://doi.org/10.3929/ethz-b-000624203,Has DOI,Journal Article,Scientific Article,2023,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
5454219d-cf60-47e6-8031-e3cba519ac2f,"The Development of a Recycled Plastic Wheel for Cardboard Collector Trollies - Improving the working conditions of informal cardboard recyclers in Durban, South Africa",https://doi.org/10.3929/ethz-b-000586416,Has DOI,Bachelor Thesis,Student Paper,2022-07-01,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
4b1701f1-ea92-4834-85ab-fb5908128063,Humanitarian Sanitation Solution,https://doi.org/10.3929/ethz-b-000619207,Has DOI,Student Paper,Student Paper,2023,2023,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
5099cb44-12cc-4b1a-a002-837bf7b13da8,Black Carbon Monitor: Feasibility of a Low-Cost Application,https://doi.org/10.3929/ethz-b-000726792,Has DOI,Student Paper,Student Paper,2024-12-23,2024,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
0b8ee29c-b8a8-4aa1-abfd-095162f3c9cf,"“I have just accepted it”: Hierarchies of Power and Healthcare Waste Management Practices in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000598010,Has DOI,Student Paper,Student Paper,2023-01-30,2023,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
07d54da0-5bf3-4d39-87a0-a50cba4aae0b,Optimizing the HDPE recycling process for ArtMalawi,https://doi.org/10.3929/ethz-b-000726504,Has DOI,Master Thesis,Student Paper,2024,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
12d2998d-063b-4ec3-9c03-5e0bb1946677,"""We are from there, that's our land"": contestation, maize, and the problemisation of waste at Blantyre, Malawi's Mzedi dumpsite",https://doi.org/10.3929/ethz-b-000537933,Has DOI,Journal Article,Scientific Article,2022-05,2022,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,CC BY-NC-ND 4.0,CC BY 4.0
0c5e25fd-9161-4280-b277-eeea523cf22c,Tipping aid for loading small trucks on waste collection tours,https://doi.org/10.3929/ethz-b-000646138,Has DOI,Master Thesis,Student Paper,2023,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
a121e061-f409-4d6b-a89e-9687d1496a54,Self-cleaning Preliminary Screening Mechanisms to Improve Health and Wastewater Treatment Efficiency in Low-income Countries,https://doi.org/10.3929/ethz-b-000500152,Has DOI,Bachelor Thesis,Student Paper,2021-06,2021,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,CC BY-NC-SA 4.0,CC BY 4.0
a19d248b-216e-4fe6-9fb0-e7487e257d8f,Designing sensor technology for estimating CO2 reductions through the adoption and use of improved cookstoves,https://doi.org/10.3929/ethz-b-000739010,Has DOI,Bachelor Thesis,Student Paper,2025,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
a224de60-3ef1-48fc-9a57-c0620678c0d3,"“My Flight Arrives at 5 am, Can You Pick Me Up?”: The Gatekeeping Burden of the African Academic",https://doi.org/10.3929/ethz-b-000493677,Has DOI,Journal Article,Scientific Article,2021,2021,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,CC BY-NC-ND 4.0,CC BY 4.0
37211b9f-0228-4f50-830a-64e293a32970,"Air quality monitoring from open waste and incinerator burning in Cape Maclear, Malawi",https://doi.org/10.3929/ethz-b-000731404,Has DOI,Master Thesis,Student Paper,2025-04-14,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
3448a9ae-8872-4eee-b2cd-a2867c3068c5,Thermal Analysis and Optimization Potential of Clamp Kilns for Fired Clay Brick Production,https://doi.org/10.3929/ethz-b-000666850,Has DOI,Master Thesis,Student Paper,2023,2023,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
5ead9712-a4aa-4df6-aac1-bffb9df9c356,"Innovating traditional building materials in Chembe, Malawi: assessing post-consumer waste glass and burnt clay bricks for performance and circularity",https://doi.org/10.3929/ethz-b-000493683,Has DOI,Journal Article,Scientific Article,2021,2021,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,CC BY-NC-ND 4.0,CC BY 4.0
5dd3ca20-646d-4415-be9e-1296f6da75d0,biogasoutcomesmalawi: Data for 61 semi-structured interviews with biogas owners in Malawi,,No DOI,Dataset,Dataset,2023-08-28,2023,No license,No license,No license
